Penulis,Judul,Harga,Cover
Wild Police Story-Last, Aoyama Gosho ,Rp 31.500,https://cdn.gramedia.com/uploads/items/722010487_cover_Wild_Police_Story_Last__w149_hauto.jpg
Aktivitas Hafiz Hafizah: Asah Kecerdasan IQ, PT Hidayah Insan Mulia ,Rp 52.000,https://cdn.gramedia.com/uploads/items/722070265_COV_HH_ASAH_KECERDASAN_IQ__w149_hauto.jpg
One Piece 106, Eiichiro Oda ,Rp 36.000,https://cdn.gramedia.com/uploads/picture_meta/2024/5/14/xmymlkgyramorxmhupydk3__w149_hauto.jpg
AKASHA : Dead Mount Death Play 3, Shinta Fujimoto ,Rp 38.400,https://cdn.gramedia.com/uploads/items/cover_DEAD_MOUNT_DEATH_PLAY_03__w149_hauto.jpg
Lima Sekawan: Rahasia di Pulau Kirrin, Enid Blyton ,Rp 39.200,https://cdn.gramedia.com/uploads/items/9786020321288_Lima-Sekawan_Rahasia-di-Pulau-Kirrin__w149_hauto.jpg
The Man In The Brown Suit ( Pria Bersetelan Cokelat ), Agatha Christie ,Rp 52.000,https://cdn.gramedia.com/uploads/items/9789792285130_the-man-in-the-brown-suit-_pria-bersetelan-cokelat___w149_hauto.jpg
Doraemon 01 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/jg8updzdgtdwbowz7bhqtg__w149_hauto.jpg
Doraemon 02 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/fghdffwfdexez5o57k4prr__w149_hauto.jpg
Spy x Family 12, Endo Tatsuya ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/5p8aaixvhelbsgvkfxfmpo__w149_hauto.jpg
Black Clover 24, Yuki TABATA ,Rp 40.000,/assets/default-images/product.png
One Piece 16 (2024), Eiichiro Oda ,Rp 45.000,/assets/default-images/product.png
Mission: Yozakura Family 04, Hitsuji Gondaira ,Rp 45.000,/assets/default-images/product.png
Dr. Stone 08, Riichiro Inagaki ,Rp 45.000,/assets/default-images/product.png
Jujutsu Kaisen 15, Gege Akutami ,Rp 40.000,/assets/default-images/product.png
Blue Lock 15," MUNEYUKI KANESHIRO,YUSUKE NOMURA ",Rp 45.000,/assets/default-images/product.png
Level Comic: Tokyo Revengers 16, Ken Wakui ,Rp 40.000,/assets/default-images/product.png
Amendemen I-IV UUD 1945 Dan Pengetahuan Umum Indonesia, Tim Anak Hebat Indonesia ,Rp 28.500,/assets/default-images/product.png
Panduan Stoik Untuk Hidup Bahagia : Seneca Filsafat Hidup Bahagia, Lucius Annaeus Seneca ,Rp 65.500,/assets/default-images/product.png
Cicero : Surat-Surat Cicero, Marcus Tullius Cicero ,Rp 65.000,/assets/default-images/product.png
Kekuatan Manipulasi, Siti Dianah ,Rp 52.500,/assets/default-images/product.png
Wild Police Story-Last, Aoyama Gosho ,Rp 31.500,https://cdn.gramedia.com/uploads/items/722010487_cover_Wild_Police_Story_Last__w149_hauto.jpg
Aktivitas Hafiz Hafizah: Asah Kecerdasan IQ, PT Hidayah Insan Mulia ,Rp 52.000,https://cdn.gramedia.com/uploads/items/722070265_COV_HH_ASAH_KECERDASAN_IQ__w149_hauto.jpg
One Piece 106, Eiichiro Oda ,Rp 36.000,https://cdn.gramedia.com/uploads/picture_meta/2024/5/14/xmymlkgyramorxmhupydk3__w149_hauto.jpg
AKASHA : Dead Mount Death Play 3, Shinta Fujimoto ,Rp 38.400,https://cdn.gramedia.com/uploads/items/cover_DEAD_MOUNT_DEATH_PLAY_03__w149_hauto.jpg
Lima Sekawan: Rahasia di Pulau Kirrin, Enid Blyton ,Rp 39.200,https://cdn.gramedia.com/uploads/items/9786020321288_Lima-Sekawan_Rahasia-di-Pulau-Kirrin__w149_hauto.jpg
The Man In The Brown Suit ( Pria Bersetelan Cokelat ), Agatha Christie ,Rp 52.000,https://cdn.gramedia.com/uploads/items/9789792285130_the-man-in-the-brown-suit-_pria-bersetelan-cokelat___w149_hauto.jpg
Doraemon 01 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/jg8updzdgtdwbowz7bhqtg__w149_hauto.jpg
Doraemon 02 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/fghdffwfdexez5o57k4prr__w149_hauto.jpg
Spy x Family 12, Endo Tatsuya ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/5p8aaixvhelbsgvkfxfmpo__w149_hauto.jpg
Black Clover 24, Yuki TABATA ,Rp 40.000,/assets/default-images/product.png
One Piece 16 (2024), Eiichiro Oda ,Rp 45.000,/assets/default-images/product.png
Mission: Yozakura Family 04, Hitsuji Gondaira ,Rp 45.000,/assets/default-images/product.png
Dr. Stone 08, Riichiro Inagaki ,Rp 45.000,/assets/default-images/product.png
Jujutsu Kaisen 15, Gege Akutami ,Rp 40.000,/assets/default-images/product.png
Blue Lock 15," MUNEYUKI KANESHIRO,YUSUKE NOMURA ",Rp 45.000,/assets/default-images/product.png
Level Comic: Tokyo Revengers 16, Ken Wakui ,Rp 40.000,/assets/default-images/product.png
Amendemen I-IV UUD 1945 Dan Pengetahuan Umum Indonesia, Tim Anak Hebat Indonesia ,Rp 28.500,/assets/default-images/product.png
Panduan Stoik Untuk Hidup Bahagia : Seneca Filsafat Hidup Bahagia, Lucius Annaeus Seneca ,Rp 65.500,/assets/default-images/product.png
Cicero : Surat-Surat Cicero, Marcus Tullius Cicero ,Rp 65.000,/assets/default-images/product.png
Kekuatan Manipulasi, Siti Dianah ,Rp 52.500,/assets/default-images/product.png
Wild Police Story-Last, Aoyama Gosho ,Rp 31.500,https://cdn.gramedia.com/uploads/items/722010487_cover_Wild_Police_Story_Last__w149_hauto.jpg
Aktivitas Hafiz Hafizah: Asah Kecerdasan IQ, PT Hidayah Insan Mulia ,Rp 52.000,https://cdn.gramedia.com/uploads/items/722070265_COV_HH_ASAH_KECERDASAN_IQ__w149_hauto.jpg
One Piece 106, Eiichiro Oda ,Rp 36.000,https://cdn.gramedia.com/uploads/picture_meta/2024/5/14/xmymlkgyramorxmhupydk3__w149_hauto.jpg
AKASHA : Dead Mount Death Play 3, Shinta Fujimoto ,Rp 38.400,https://cdn.gramedia.com/uploads/items/cover_DEAD_MOUNT_DEATH_PLAY_03__w149_hauto.jpg
Lima Sekawan: Rahasia di Pulau Kirrin, Enid Blyton ,Rp 39.200,https://cdn.gramedia.com/uploads/items/9786020321288_Lima-Sekawan_Rahasia-di-Pulau-Kirrin__w149_hauto.jpg
The Man In The Brown Suit ( Pria Bersetelan Cokelat ), Agatha Christie ,Rp 52.000,https://cdn.gramedia.com/uploads/items/9789792285130_the-man-in-the-brown-suit-_pria-bersetelan-cokelat___w149_hauto.jpg
Doraemon 01 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/jg8updzdgtdwbowz7bhqtg__w149_hauto.jpg
Doraemon 02 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/fghdffwfdexez5o57k4prr__w149_hauto.jpg
Spy x Family 12, Endo Tatsuya ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/5p8aaixvhelbsgvkfxfmpo__w149_hauto.jpg
Black Clover 24, Yuki TABATA ,Rp 40.000,/assets/default-images/product.png
One Piece 16 (2024), Eiichiro Oda ,Rp 45.000,/assets/default-images/product.png
Mission: Yozakura Family 04, Hitsuji Gondaira ,Rp 45.000,/assets/default-images/product.png
Dr. Stone 08, Riichiro Inagaki ,Rp 45.000,/assets/default-images/product.png
Jujutsu Kaisen 15, Gege Akutami ,Rp 40.000,/assets/default-images/product.png
Blue Lock 15," MUNEYUKI KANESHIRO,YUSUKE NOMURA ",Rp 45.000,/assets/default-images/product.png
Level Comic: Tokyo Revengers 16, Ken Wakui ,Rp 40.000,/assets/default-images/product.png
Amendemen I-IV UUD 1945 Dan Pengetahuan Umum Indonesia, Tim Anak Hebat Indonesia ,Rp 28.500,/assets/default-images/product.png
Panduan Stoik Untuk Hidup Bahagia : Seneca Filsafat Hidup Bahagia, Lucius Annaeus Seneca ,Rp 65.500,/assets/default-images/product.png
Cicero : Surat-Surat Cicero, Marcus Tullius Cicero ,Rp 65.000,/assets/default-images/product.png
Kekuatan Manipulasi, Siti Dianah ,Rp 52.500,/assets/default-images/product.png
Wild Police Story-Last, Aoyama Gosho ,Rp 31.500,https://cdn.gramedia.com/uploads/items/722010487_cover_Wild_Police_Story_Last__w149_hauto.jpg
Aktivitas Hafiz Hafizah: Asah Kecerdasan IQ, PT Hidayah Insan Mulia ,Rp 52.000,https://cdn.gramedia.com/uploads/items/722070265_COV_HH_ASAH_KECERDASAN_IQ__w149_hauto.jpg
One Piece 106, Eiichiro Oda ,Rp 36.000,https://cdn.gramedia.com/uploads/picture_meta/2024/5/14/xmymlkgyramorxmhupydk3__w149_hauto.jpg
AKASHA : Dead Mount Death Play 3, Shinta Fujimoto ,Rp 38.400,https://cdn.gramedia.com/uploads/items/cover_DEAD_MOUNT_DEATH_PLAY_03__w149_hauto.jpg
Lima Sekawan: Rahasia di Pulau Kirrin, Enid Blyton ,Rp 39.200,https://cdn.gramedia.com/uploads/items/9786020321288_Lima-Sekawan_Rahasia-di-Pulau-Kirrin__w149_hauto.jpg
The Man In The Brown Suit ( Pria Bersetelan Cokelat ), Agatha Christie ,Rp 52.000,https://cdn.gramedia.com/uploads/items/9789792285130_the-man-in-the-brown-suit-_pria-bersetelan-cokelat___w149_hauto.jpg
Doraemon 01 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/jg8updzdgtdwbowz7bhqtg__w149_hauto.jpg
Doraemon 02 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/fghdffwfdexez5o57k4prr__w149_hauto.jpg
Spy x Family 12, Endo Tatsuya ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/5p8aaixvhelbsgvkfxfmpo__w149_hauto.jpg
Black Clover 24, Yuki TABATA ,Rp 40.000,/assets/default-images/product.png
One Piece 16 (2024), Eiichiro Oda ,Rp 45.000,/assets/default-images/product.png
Mission: Yozakura Family 04, Hitsuji Gondaira ,Rp 45.000,/assets/default-images/product.png
Dr. Stone 08, Riichiro Inagaki ,Rp 45.000,/assets/default-images/product.png
Jujutsu Kaisen 15, Gege Akutami ,Rp 40.000,/assets/default-images/product.png
Blue Lock 15," MUNEYUKI KANESHIRO,YUSUKE NOMURA ",Rp 45.000,/assets/default-images/product.png
Level Comic: Tokyo Revengers 16, Ken Wakui ,Rp 40.000,/assets/default-images/product.png
Amendemen I-IV UUD 1945 Dan Pengetahuan Umum Indonesia, Tim Anak Hebat Indonesia ,Rp 28.500,/assets/default-images/product.png
Panduan Stoik Untuk Hidup Bahagia : Seneca Filsafat Hidup Bahagia, Lucius Annaeus Seneca ,Rp 65.500,/assets/default-images/product.png
Cicero : Surat-Surat Cicero, Marcus Tullius Cicero ,Rp 65.000,/assets/default-images/product.png
Kekuatan Manipulasi, Siti Dianah ,Rp 52.500,/assets/default-images/product.png
Wild Police Story-Last, Aoyama Gosho ,Rp 31.500,https://cdn.gramedia.com/uploads/items/722010487_cover_Wild_Police_Story_Last__w149_hauto.jpg
Aktivitas Hafiz Hafizah: Asah Kecerdasan IQ, PT Hidayah Insan Mulia ,Rp 52.000,https://cdn.gramedia.com/uploads/items/722070265_COV_HH_ASAH_KECERDASAN_IQ__w149_hauto.jpg
One Piece 106, Eiichiro Oda ,Rp 36.000,https://cdn.gramedia.com/uploads/picture_meta/2024/5/14/xmymlkgyramorxmhupydk3__w149_hauto.jpg
AKASHA : Dead Mount Death Play 3, Shinta Fujimoto ,Rp 38.400,https://cdn.gramedia.com/uploads/items/cover_DEAD_MOUNT_DEATH_PLAY_03__w149_hauto.jpg
Lima Sekawan: Rahasia di Pulau Kirrin, Enid Blyton ,Rp 39.200,https://cdn.gramedia.com/uploads/items/9786020321288_Lima-Sekawan_Rahasia-di-Pulau-Kirrin__w149_hauto.jpg
The Man In The Brown Suit ( Pria Bersetelan Cokelat ), Agatha Christie ,Rp 52.000,https://cdn.gramedia.com/uploads/items/9789792285130_the-man-in-the-brown-suit-_pria-bersetelan-cokelat___w149_hauto.jpg
Doraemon 01 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/jg8updzdgtdwbowz7bhqtg__w149_hauto.jpg
Doraemon 02 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/fghdffwfdexez5o57k4prr__w149_hauto.jpg
Spy x Family 12, Endo Tatsuya ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/5p8aaixvhelbsgvkfxfmpo__w149_hauto.jpg
Black Clover 24, Yuki TABATA ,Rp 40.000,/assets/default-images/product.png
One Piece 16 (2024), Eiichiro Oda ,Rp 45.000,/assets/default-images/product.png
Mission: Yozakura Family 04, Hitsuji Gondaira ,Rp 45.000,/assets/default-images/product.png
Dr. Stone 08, Riichiro Inagaki ,Rp 45.000,/assets/default-images/product.png
Jujutsu Kaisen 15, Gege Akutami ,Rp 40.000,/assets/default-images/product.png
Blue Lock 15," MUNEYUKI KANESHIRO,YUSUKE NOMURA ",Rp 45.000,/assets/default-images/product.png
Level Comic: Tokyo Revengers 16, Ken Wakui ,Rp 40.000,/assets/default-images/product.png
Amendemen I-IV UUD 1945 Dan Pengetahuan Umum Indonesia, Tim Anak Hebat Indonesia ,Rp 28.500,/assets/default-images/product.png
Panduan Stoik Untuk Hidup Bahagia : Seneca Filsafat Hidup Bahagia, Lucius Annaeus Seneca ,Rp 65.500,/assets/default-images/product.png
Cicero : Surat-Surat Cicero, Marcus Tullius Cicero ,Rp 65.000,/assets/default-images/product.png
Kekuatan Manipulasi, Siti Dianah ,Rp 52.500,/assets/default-images/product.png
Wild Police Story-Last, Aoyama Gosho ,Rp 31.500,https://cdn.gramedia.com/uploads/items/722010487_cover_Wild_Police_Story_Last__w149_hauto.jpg
Aktivitas Hafiz Hafizah: Asah Kecerdasan IQ, PT Hidayah Insan Mulia ,Rp 52.000,https://cdn.gramedia.com/uploads/items/722070265_COV_HH_ASAH_KECERDASAN_IQ__w149_hauto.jpg
One Piece 106, Eiichiro Oda ,Rp 36.000,https://cdn.gramedia.com/uploads/picture_meta/2024/5/14/xmymlkgyramorxmhupydk3__w149_hauto.jpg
AKASHA : Dead Mount Death Play 3, Shinta Fujimoto ,Rp 38.400,https://cdn.gramedia.com/uploads/items/cover_DEAD_MOUNT_DEATH_PLAY_03__w149_hauto.jpg
Lima Sekawan: Rahasia di Pulau Kirrin, Enid Blyton ,Rp 39.200,https://cdn.gramedia.com/uploads/items/9786020321288_Lima-Sekawan_Rahasia-di-Pulau-Kirrin__w149_hauto.jpg
The Man In The Brown Suit ( Pria Bersetelan Cokelat ), Agatha Christie ,Rp 52.000,https://cdn.gramedia.com/uploads/items/9789792285130_the-man-in-the-brown-suit-_pria-bersetelan-cokelat___w149_hauto.jpg
Doraemon 01 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/jg8updzdgtdwbowz7bhqtg__w149_hauto.jpg
Doraemon 02 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/fghdffwfdexez5o57k4prr__w149_hauto.jpg
Spy x Family 12, Endo Tatsuya ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/5p8aaixvhelbsgvkfxfmpo__w149_hauto.jpg
Black Clover 24, Yuki TABATA ,Rp 40.000,/assets/default-images/product.png
One Piece 16 (2024), Eiichiro Oda ,Rp 45.000,/assets/default-images/product.png
Mission: Yozakura Family 04, Hitsuji Gondaira ,Rp 45.000,/assets/default-images/product.png
Dr. Stone 08, Riichiro Inagaki ,Rp 45.000,/assets/default-images/product.png
Jujutsu Kaisen 15, Gege Akutami ,Rp 40.000,/assets/default-images/product.png
Blue Lock 15," MUNEYUKI KANESHIRO,YUSUKE NOMURA ",Rp 45.000,/assets/default-images/product.png
Level Comic: Tokyo Revengers 16, Ken Wakui ,Rp 40.000,/assets/default-images/product.png
Amendemen I-IV UUD 1945 Dan Pengetahuan Umum Indonesia, Tim Anak Hebat Indonesia ,Rp 28.500,/assets/default-images/product.png
Panduan Stoik Untuk Hidup Bahagia : Seneca Filsafat Hidup Bahagia, Lucius Annaeus Seneca ,Rp 65.500,/assets/default-images/product.png
Cicero : Surat-Surat Cicero, Marcus Tullius Cicero ,Rp 65.000,/assets/default-images/product.png
Kekuatan Manipulasi, Siti Dianah ,Rp 52.500,/assets/default-images/product.png
Wild Police Story-Last, Aoyama Gosho ,Rp 31.500,https://cdn.gramedia.com/uploads/items/722010487_cover_Wild_Police_Story_Last__w149_hauto.jpg
Aktivitas Hafiz Hafizah: Asah Kecerdasan IQ, PT Hidayah Insan Mulia ,Rp 52.000,https://cdn.gramedia.com/uploads/items/722070265_COV_HH_ASAH_KECERDASAN_IQ__w149_hauto.jpg
One Piece 106, Eiichiro Oda ,Rp 36.000,https://cdn.gramedia.com/uploads/picture_meta/2024/5/14/xmymlkgyramorxmhupydk3__w149_hauto.jpg
AKASHA : Dead Mount Death Play 3, Shinta Fujimoto ,Rp 38.400,https://cdn.gramedia.com/uploads/items/cover_DEAD_MOUNT_DEATH_PLAY_03__w149_hauto.jpg
Lima Sekawan: Rahasia di Pulau Kirrin, Enid Blyton ,Rp 39.200,https://cdn.gramedia.com/uploads/items/9786020321288_Lima-Sekawan_Rahasia-di-Pulau-Kirrin__w149_hauto.jpg
The Man In The Brown Suit ( Pria Bersetelan Cokelat ), Agatha Christie ,Rp 52.000,https://cdn.gramedia.com/uploads/items/9789792285130_the-man-in-the-brown-suit-_pria-bersetelan-cokelat___w149_hauto.jpg
Doraemon 01 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/jg8updzdgtdwbowz7bhqtg__w149_hauto.jpg
Doraemon 02 (2024), Fujiko F. Fujio ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/fghdffwfdexez5o57k4prr__w149_hauto.jpg
Spy x Family 12, Endo Tatsuya ,Rp 45.000,https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/5p8aaixvhelbsgvkfxfmpo__w149_hauto.jpg
Black Clover 24, Yuki TABATA ,Rp 40.000,/assets/default-images/product.png
One Piece 16 (2024), Eiichiro Oda ,Rp 45.000,/assets/default-images/product.png
