Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,110 m2,157 m2,SHM,Fully-furnished
Rp 17 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,850 m2,1250 m2,SHM,Fully-furnished
"Rp 4,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,580 m2,1034 m2,SHM,-
"Rp 3,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,80 m2,380 m2,SHM,Fully-furnished
"Rp 5,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,480 m2,260 m2,SHM,Fully-furnished
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,340 m2,230 m2,SHM,Semi-furnished
Rp 2 Miliar Rp 75 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,148 m2,168 m2,SHM,Fully-furnished
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,72 m2,102 m2,SHM,Semi-furnished
"Rp 11,9 Miliar Rp 320 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,350 m2,570 m2,SHM,Fully-furnished
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,48 m2,112 m2,SHM,Non-furnished
"Rp 2,7 Miliar","Kalimantan Timur, Balikpapan, Damai",Rumah,Secondary,219 m2,150 m2,SHM,Semi-furnished
"Rp 4,5 Miliar Rp 150 Juta","Kalimantan Timur, Balikpapan, Gunung Bahagia",Rumah,Secondary,250 m2,200 m2,SHM,Fully-furnished
"Rp 1,37 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,105 m2,153 m2,HGB,-
Rp 900 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,68 m2,120 m2,SHM,Semi-furnished
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,400 m2,505 m2,SHM,Non-furnished
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,220 m2,165 m2,SHM,Non-furnished
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,160 m2,169 m2,SHM,Non-furnished
"Rp 4,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,200 m2,674 m2,SHM,Non-furnished
Rp 12 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,250 m2,576 m2,SHM,Fully-furnished
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,300 m2,235 m2,SHM,Fully-furnished
Rp 8 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,750 m2,851 m2,SHM,-
"Rp 1,35 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,160 m2,120 m2,SHM,-
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,130 m2,92 m2,SHM,-
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,260 m2,198 m2,SHM,Semi-furnished
"Rp 1,45 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,56 m2,141 m2,SHM,Non-furnished
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,96 m2,100 m2,SHM,Fully-furnished
Rp 975 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,70 m2,120 m2,SHM,Semi-furnished
Rp 945 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,119 m2,170 m2,SHM,Fully-furnished
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,95 m2,111 m2,SHM,-
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,144 m2,122 m2,SHM,Non-furnished
Rp 830 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,90 m2,120 m2,SHM,Non-furnished
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,104 m2,150 m2,SHM,Non-furnished
"Rp 2,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,250 m2,600 m2,SHM,-
"Rp 5,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,380 m2,600 m2,SHM,-
"
Rp 6,65 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,300 m2,516 m2,SHM,Non-furnished
"Rp 1,68 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,140 m2,98 m2,SHM,Semi-furnished
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Barat",Rumah,Secondary,110 m2,150 m2,HGB,Non-furnished
"Rp 1,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,300 m2,300 m2,SHM,-
Rp 3 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,225 m2,311 m2,SHM,Semi-furnished
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,200 m2,152 m2,SHM,Semi-furnished
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,80 m2,380 m2,SHM,Fully-furnished
"Rp 7,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,341 m2,558 m2,SHM,Semi-furnished
"Rp 7,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,600 m2,373 m2,SHM,-
"Rp 1,82 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,175 m2,91 m2,SHM,-
Rp 920 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,Secondary,56 m2,135 m2,SHM,-
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,220 m2,380 m2,SHM,Non-furnished
"Rp 2,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,350 m2,180 m2,SHM,-
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,180 m2,143 m2,SHM,-
Rp 450 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,60 m2,60 m2,SHM,Non-furnished
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,80 m2,180 m2,SHM,Non-furnished
Rp 765 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,116 m2,144 m2,SHM,Semi-furnished
"Rp 3,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,300 m2,315 m2,SHM,Non-furnished
Rp 900 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,60 m2,160 m2,SHM,Non-furnished
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,70 m2,140 m2,HGB,Non-furnished
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,130 m2,240 m2,SHM,Non-furnished
"Rp 2,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,500 m2,311 m2,SHM,-
Rp 430 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Primary,36 m2,120 m2,SHM,Non-furnished
Rp 495 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,45 m2,96 m2,SHM,-
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,367 m2,450 m2,SHM,-
"Rp 1,61 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,115 m2,152 m2,SHM,-
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,110 m2,150 m2,HGB,-
"Rp 1,28 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Primary,130 m2,120 m2,SHM,-
"Rp 1,5 Miliar Rp 55 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,150 m2,200 m2,SHM,Semi-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,70 m2,300 m2,SHM,Semi-furnished
"Rp 3,9 Miliar Rp 130 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,300 m2,198 m2,SHM,Fully-furnished
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,100 m2,208 m2,SHM,Fully-furnished
"Rp 1,5 Miliar Rp 60 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,105 m2,153 m2,SHM,Non-furnished
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Karang Rejo",Rumah,Secondary,238 m2,210 m2,SHM,Semi-furnished
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Sepinggan",Rumah,Secondary,45 m2,90 m2,SHM,Semi-furnished
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,54 m2,180 m2,HGB,Non-furnished
Rp 550 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,112 m2,112 m2,SHM,Non-furnished
"Rp 2,51 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Primary,123 m2,135 m2,HGB,Non-furnished
"Rp 4,08 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,160 m2,400 m2,SHM,-
"Rp 1,54 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,200 m2,211 m2,SHM,-
"Rp 3,55 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,290 m2,300 m2,SHM,Non-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,172 m2,510 m2,SHM,Non-furnished
"Rp 6,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,300 m2,417 m2,SHM,-
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,300 m2,250 m2,SHM,-
"
Rp 2,3 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,-,142 m2,162 m2,HGB,-
"Rp 1,1 Miliar Rp 55 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,120 m2,150 m2,SHM,Semi-furnished
Rp 850 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,64 m2,124 m2,HGB,-
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,-,48 m2,107 m2,SHM,-
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,143 m2,135 m2,HGB,-
Rp 675 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,80 m2,150 m2,SHM,-
Rp 425 Juta,"Kalimantan Timur, Balikpapan, Sepinggan",Rumah,-,50 m2,74 m2,SHM,-
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,47 m2,78 m2,HGB,-
"Rp 4,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,400 m2,389 m2,SHM,-
"Rp 2,2 Miliar Rp 50 Juta","Kalimantan Timur, Balikpapan, Sepinggan",Rumah,Secondary,200 m2,403 m2,SHM,Non-furnished
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,82 m2,128 m2,SHM,-
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,120 m2,120 m2,SHM,-
"Rp 1,05 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,165 m2,170 m2,SHM,Non-furnished
"Rp 5,3 Miliar","Kalimantan Timur, Balikpapan, Gn. Sari Ilir",Rumah,Secondary,420 m2,400 m2,SHM,Non-furnished
"Rp 2,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,400 m2,1000 m2,SHM,-
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,216 m2,216 m2,SHM,-
Rp 870 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,70 m2,132 m2,SHM,Semi-furnished
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,Secondary,178 m2,100 m2,SHM,Non-furnished
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Batu Ampar",Rumah,-,440 m2,220 m2,SHM,-
"Rp 2,35 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,108 m2,210 m2,HGB,-
"Rp 2,01 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,-,300 m2,300 m2,SHM,-
"Rp 1,35 Miliar Rp 35 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,65 m2,133 m2,SHM,Non-furnished
"
Rp 530 Juta
","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,48 m2,150 m2,SHM,-
"Rp 1,6 Miliar Rp 75 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,143 m2,135 m2,HGB,Fully-furnished
"Rp 2,55 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,195 m2,285 m2,SHM,-
"Rp 3,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,191 m2,220 m2,SHM,-
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,250 m2,240 m2,SHM,-
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,100 m2,134 m2,SHM,Non-furnished
Rp 695 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Primary,45 m2,80 m2,SHM,Non-furnished
"Rp 2,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,160 m2,199 m2,SHM,Fully-furnished
Rp 695 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,50 m2,84 m2,SHM,Semi-furnished
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,145 m2,120 m2,SHM,-
"Rp 1,28 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,100 m2,200 m2,HGB,-
"Rp 2,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,208 m2,144 m2,SHM,-
"Rp 2,55 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,160 m2,169 m2,HGB,-
"Rp 1,22 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,210 m2,210 m2,SHM,-
Rp 450 Juta,"Kalimantan Timur, Balikpapan, Batu Ampar",Rumah,Secondary,120 m2,150 m2,SHM,-
"
Rp 6,5 Miliar
","Kalimantan Timur, Balikpapan, Sepinggan",Rumah,Secondary,415 m2,125 m2,HGB,-
Rp 925 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,100 m2,108 m2,SHM,-
"Rp 1,07 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,145 m2,120 m2,SHM,-
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,226 m2,280 m2,SHM,Fully-furnished
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,47 m2,60 m2,HGB,Non-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,244 m2,285 m2,SHM,Semi-furnished
"Rp 3,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,235 m2,315 m2,SHM,Fully-furnished
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,47 m2,78 m2,SHM,Semi-furnished
Rp 440 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,72 m2,84 m2,SHM,Non-furnished
"Rp 2,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,150 m2,221 m2,SHM,Fully-furnished
"Rp 2,9 Miliar Rp 80 Juta","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,200 m2,220 m2,HGB,Non-furnished
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,250 m2,165 m2,SHM,-
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,280 m2,320 m2,SHM,-
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,260 m2,230 m2,SHM,Semi-furnished
Rp 12 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,550 m2,700 m2,SHM,Fully-furnished
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,260 m2,150 m2,SHM,Non-furnished
