harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",300 m2,309 m2,Lain-lain,-,4,2,N/A,2200 Watt
Rp 550 Juta,"Kalimantan Timur, Samarinda, Sambutan",120 m2,120 m2,SHM,-,3,3,N/A,1300 Watt
Rp 525 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",96 m2,96 m2,Lain-lain,-,02,02,N/A,1300 Watt
"Rp 1,35 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",120 m2,200 m2,SHM,-,2,1,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Sambutan",54 m2,144 m2,SHM,Non-furnished,2,1,N/A,2200 Watt
Rp 2 Miliar,"Kalimantan Timur, Samarinda, Samarinda Utara",100 m2,300 m2,SHM,Non-furnished,3,3,N/A,3500 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",84 m2,105 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",176 m2,144 m2,HGB,-,3+1,2+1,N/A,2200 Watt
Rp 7 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",350 m2,408 m2,SHM,-,5,1,N/A,2200 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",270 m2,300 m2,SHM,-,5,2,N/A,2200 Watt
"Rp 8,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",403 m2,873 m2,SHM,-,3+1,3+1,N/A,5500 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",168 m2,105 m2,SHM,Semi-furnished,3,2,N/A,6600 Watt
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Samarinda Utara",200 m2,298 m2,SHM,-,5,3,N/A,2200 Watt
"Rp 2,15 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",125 m2,180 m2,SHM,-,3,3,N/A,3500 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Kunjang",200 m2,100 m2,SHM,Non-furnished,1,2,N/A,2200 Watt
Rp 2 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",60 m2,131 m2,SHM,-,2,2,N/A,2200 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",90 m2,135 m2,SHM,-,3,1,N/A,1300 Watt
Rp 625 Juta,"Kalimantan Timur, Samarinda, Sambutan",65 m2,135 m2,SHM,-,2,1,N/A,2200 Watt
"Rp 1,65 Miliar Rp 45 Juta","Kalimantan Timur, Samarinda, Palaran",160 m2,120 m2,HGB,-,3,2,N/A,2200 Watt
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",150 m2,200 m2,SHM,-,3,3,N/A,3500 Watt
Rp 950 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",176 m2,280 m2,SHM,-,4,3,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",200 m2,234 m2,SHM,-,4,3,N/A,2200 Watt
Rp 500 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",50 m2,105 m2,SHM,-,2,2,N/A,2200 Watt
Rp 500 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",75 m2,110 m2,SHM,-,2,2-,N/A,1300 Watt
"Rp 1,65 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",100 m2,167 m2,SHM,Semi-furnished,2+1,4,N/A,3500 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 500 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",90 m2,120 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",120 m2,105 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 5,3 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",216 m2,480 m2,SHM,-,3+2,4+1,N/A,2200 Watt
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",380 m2,469 m2,SHM,-,4+1,5+1,N/A,2200 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",260 m2,303 m2,SHM,-,4,2,N/A,1300 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",330 m2,240 m2,SHM,-,3,3,N/A,2200 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",90 m2,162 m2,SHM,-,3,2,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",80 m2,126 m2,HGB,-,2,1,N/A,1300 Watt
"
Rp 1,15 Miliar
","Kalimantan Timur, Samarinda, Sungai Kunjang",160 m2,183 m2,SHM,-,2,1,N/A,2200 Watt
Rp 720 Juta Rp 35 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",70 m2,78 m2,HGB,-,3,2,N/A,1300 Watt
"Rp 1,35 Miliar","Kalimantan Timur, Samarinda, Samarinda Kunjang",250 m2,350 m2,SHM,Non-furnished,3+1,2,N/A,2200 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",99 m2,300 m2,SHM,Semi-furnished,3,3,N/A,3500 Watt
"Rp 2,1 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",93 m2,140 m2,SHM,Non-furnished,2,2,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 3,6 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",197 m2,225 m2,SHM,Non-furnished,2,2,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 800 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",60 m2,140 m2,SHM,Semi-furnished,2,1,N/A,1300 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",135 m2,214 m2,SHM,-,3,2,N/A,5500 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",122 m2,128 m2,SHM,-,3+1,2,N/A,2200 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",80 m2,160 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 2,3 Miliar Rp 85 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",94 m2,144 m2,SHM,-,3+1,2+1,N/A,2200 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",72 m2,120 m2,SHM,Non-furnished,4,1,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Sambutan",400 m2,255 m2,SHM,Semi-furnished,4,2,N/A,1300 Watt
"Rp 1,05 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",65 m2,105 m2,SHM,Fully-furnished,2,1,N/A,1300 Watt
"Rp 5,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",210 m2,177 m2,SHM,-,3,2,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Sambutan",46 m2,184 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kunjang",150 m2,200 m2,SHM,Non-furnished,4,2,N/A,2200 Watt
"Rp 5,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",380 m2,444 m2,SHM,-,5+2,7,N/A,2200 Watt
Rp 60 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",500 m2,2000 m2,SHM,-,8,3,N/A,16500 Watt
"Rp 4,3 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",240 m2,243 m2,SHM,-,4,4,N/A,2200 Watt
"Rp 1,2 Miliar Rp 40 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",120 m2,105 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 1,75 Miliar Rp 60 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",90 m2,128 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"Rp 1,45 Miliar Rp 65 Juta","Kalimantan Timur, Samarinda, Samarinda Utara",170 m2,200 m2,SHM,-,5,3,N/A,4400 Watt
"Rp 2,3 Miliar Rp 85 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",94 m2,144 m2,SHM,-,3+1,2+1,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",150 m2,356 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",200 m2,243 m2,SHM,-,4,3,N/A,2200 Watt
"Rp 415,5 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",45 m2,84 m2,SHM,-,2,1,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",90 m2,120 m2,SHM,-,2,1,N/A,1300 Watt
Rp 600 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",130 m2,164 m2,HGB,-,3,1,N/A,2200 Watt
"Rp 2,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",230 m2,235 m2,SHM,-,4,3,N/A,3500 Watt
Rp 750 Juta,"Kalimantan Timur, Samarinda, Samarinda Ilir",54 m2,144 m2,SHM,Non-furnished,2,1,N/A,2200 Watt
Rp 875 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",213 m2,170 m2,Lain-lain,-,4,2,N/A,2200 Watt
Rp 450 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",85 m2,85 m2,SHM,-,2,1,N/A,900 Watt
Rp 465 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",50 m2,52 m2,Lain-lain,-,2,1,N/A,900 Watt
Rp 650 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",136 m2,213 m2,Lain-lain,-,3,2,N/A,2200 Watt
Rp 900 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",38 m2,90 m2,SHM,-,2,1,N/A,2200 Watt
Rp 968 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",54 m2,177 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 1,99 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",96 m2,126 m2,HGB,Non-furnished,3,2,N/A,2200 Watt
Rp 700 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",120 m2,200 m2,SHM,Non-furnished,2,1,N/A,2200 Watt
"Rp 2,5 Miliar Rp 75 Juta","Kalimantan Timur, Samarinda, Samarinda Ulu",250 m2,300 m2,SHM,-,3,3,N/A,10600 Watt
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",391 m2,391 m2,SHM,-,3,4,N/A,5500 Watt
Rp 828 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",54 m2,100 m2,SHM,-,2,1,N/A,1300 Watt
Rp 968 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",54 m2,177 m2,SHM,-,2,1,N/A,1300 Watt
Rp 828 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",54 m2,100 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 4,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",240 m2,243 m2,SHM,-,4,4,N/A,2200 Watt
Rp 935 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",200 m2,200 m2,SHM,-,3,1,N/A,1300 Watt
Rp 650 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",90 m2,120 m2,SHM,-,2,1,N/A,1300 Watt
Rp 500 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",55 m2,75 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",160 m2,600 m2,SHM,-,4,3,N/A,3500 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",276 m2,182 m2,SHM,-,5,3,N/A,3500 Watt
Rp 750 Juta Rp 35 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",45 m2,120 m2,SHM,-,2,1,N/A,2200 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",100 m2,180 m2,SHM,-,4,2,N/A,3500 Watt
Rp 685 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",65 m2,65 m2,SHM,Non-furnished,3,1,N/A,1300 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",130 m2,240 m2,SHM,-,3,3,N/A,2200 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",90 m2,108 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,15 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",200 m2,200 m2,SHM,-,3,2,N/A,2200 Watt
Rp 700 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",48 m2,120 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
Rp 500 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",100 m2,150 m2,SHM,-,3,1,N/A,1300 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",90 m2,200 m2,SHM,-,3,2,N/A,2200 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",129 m2,150 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 697,02 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",45 m2,105 m2,HGB,-,2,1,N/A,1300 Watt
"Rp 1,12 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",45 m2,126 m2,HGB,Non-furnished,2,1,N/A,2200 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",200 m2,220 m2,SHM,Non-furnished,3,2,N/A,1300 Watt
Rp 2 Miliar,"Kalimantan Timur, Samarinda, Samarinda Utara",250 m2,241 m2,SHM,Non-furnished,8,4,N/A,2200 Watt
"Rp 3,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",200 m2,250 m2,SHM,Non-furnished,3+1,2,N/A,2200 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",130 m2,150 m2,SHM,Semi-furnished,3,2,N/A,5500 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",106 m2,202 m2,SHM,-,4,4,N/A,2200 Watt
Rp 390 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",115 m2,102 m2,SHM,Semi-furnished,2,2,N/A,1300 Watt
"Rp 2,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",225 m2,459 m2,SHM,-,4,1,N/A,2200 Watt
Rp 880 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",90 m2,90 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"Rp 4,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",220 m2,225 m2,SHM,-,3,1,N/A,900 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",500 m2,253 m2,SHM,Semi-furnished,5,3,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",136 m2,136 m2,SHM,-,8,4,N/A,2200 Watt
"Rp 1,44 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",243 m2,552 m2,SHM,-,9,9,N/A,8000 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",96 m2,126 m2,HGB,Non-furnished,3,2,N/A,2200 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",250 m2,285 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 4,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",329 m2,885 m2,SHM,Non-furnished,7,6,N/A,2200 Watt
"Rp 4,5 Miliar Rp 75 Juta","Kalimantan Timur, Samarinda, Sungai Kunjang",240 m2,270 m2,SHM,-,7,3,N/A,3500 Watt
"Rp 1,5 Miliar Rp 40 Juta","Kalimantan Timur, Samarinda, Samarinda Kunjang",150 m2,180 m2,SHM,-,3,2,N/A,1300 Watt
Rp 750 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",200 m2,150 m2,SHM,Non-furnished,3,2,N/A,1300 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",369 m2,208 m2,SHM,Non-furnished,6,4,N/A,2200 Watt
"Rp 2,8 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",225 m2,144 m2,SHM,Fully-furnished,5,4,N/A,2200 Watt
"Rp 2,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",200 m2,234 m2,SHM,Semi-furnished,3,3,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",200 m2,200 m2,SHM,-,6,4,N/A,2200 Watt
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Sungai Kunjang",320 m2,240 m2,HGB,-,5,4,N/A,3500 Watt
"Rp 3,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",400 m2,250 m2,SHM,-,4,3,N/A,5500 Watt
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Sambutan",320 m2,265 m2,SHM,Non-furnished,3,3,N/A,2200 Watt
Rp 900 Juta,"Kalimantan Timur, Samarinda, Sambutan",100 m2,144 m2,SHM,Fully-furnished,3,2,N/A,2200 Watt
"Rp 704,35 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",38 m2,108 m2,HGB,-,2,1,N/A,1300 Watt
"Rp 560,12 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",39 m2,72 m2,HGB,-,2,1,N/A,1300 Watt
"Rp 733,48 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",40 m2,108 m2,HGB,-,2,1,N/A,1300 Watt
"Rp 958,11 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",57 m2,120 m2,HGB,-,3,1,N/A,1300 Watt
"Rp 837,19 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",34 m2,96 m2,HGB,-,2,1,N/A,2200 Watt
"Rp 1,54 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",45 m2,140 m2,HGB,-,2,1,N/A,2200 Watt
Rp 920 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",38 m2,98 m2,HGB,-,2,1,N/A,2200 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",120 m2,277 m2,SHM,-,4,2,N/A,1300 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",105 m2,120 m2,SHM,-,3,2,N/A,900 Watt
"Rp 704,35 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",38 m2,108 m2,HGB,-,2,1,N/A,1300 Watt
"Rp 4,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",329 m2,885 m2,SHM,Semi-furnished,7,6,N/A,1300 Watt
"Rp 3,85 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",270 m2,180 m2,SHM,Fully-furnished,4,4,N/A,4400 Watt
Rp 270 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",48 m2,150 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",100 m2,150 m2,SHM,Fully-furnished,3,2,N/A,2200 Watt
Rp 280 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",48 m2,150 m2,SHM,-,2,1,N/A,900 Watt
Rp 950 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",120 m2,120 m2,SHM,Semi-furnished,4,2,N/A,2200 Watt
Rp 388 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",145 m2,160 m2,SHM,-,3,2,N/A,1300 Watt
Rp 777 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",150 m2,150 m2,SHM,-,6,2,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",150 m2,120 m2,SHM,-,3,1,N/A,4400 Watt
Rp 950 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",152 m2,152 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 2,71 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",180 m2,186 m2,HGB,Non-furnished,4,3,N/A,2200 Watt
"Rp 3,24 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",197 m2,225 m2,HGB,Non-furnished,4,3,N/A,2200 Watt
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",93 m2,140 m2,HGB,Non-furnished,3,2,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",75 m2,150 m2,SHM,-,3,2,N/A,2200 Watt
Rp 390 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",45 m2,88 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
Rp 450 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",84 m2,97.5 m2,SHM,Non-furnished,2,1,N/A,2200 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Kunjang",200 m2,200 m2,SHM,Non-furnished,5,2,N/A,900 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",60 m2,90 m2,SHM,-,3,2,N/A,2200 Watt
